epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5398.92,0.88222,1.32675,0.65053,0.92199,0,0.7006,0.47966,0.49872,0.32779,0.67515,0.45633,0.4565,0.26185,1.04433,1.69754,0.96188,1.05709,0,0.00135786,0.00135786,0.00135786
29,5471.3,0.88216,1.343,0.64778,0.91972,0,0.54145,0.47448,0.49125,0.31469,0.51552,0.45163,0.45486,0.25701,1.05684,1.66381,0.98498,1.06091,0,0.00131593,0.00131593,0.00131593
30,5556.91,0.88008,1.32422,0.64345,0.91955,0,0.52033,0.50008,0.50379,0.33129,0.49221,0.47559,0.46339,0.26815,1.0416,1.63884,0.9577,1.05077,0,0.00127338,0.00127338,0.00127338
31,5715.97,0.8585,1.28532,0.62127,0.91385,0,0.47347,0.56773,0.51191,0.33146,0.44977,0.54411,0.47683,0.27009,1.05434,1.66939,0.96331,1.05996,0,0.0012303,0.0012303,0.0012303
32,5830,0.8564,1.28,0.62175,0.91519,0,0.52816,0.49653,0.49942,0.32773,0.50505,0.47831,0.46639,0.26797,1.04232,1.65009,0.95035,1.0517,0,0.00118677,0.00118677,0.00118677
33,5974.81,0.86426,1.2979,0.61551,0.91247,0,0.69354,0.48264,0.50377,0.32768,0.65871,0.45758,0.46161,0.25835,1.03219,1.6487,0.95584,1.05804,0,0.00114289,0.00114289,0.00114289
34,6285.72,0.84238,1.26747,0.60494,0.90634,0,0.53835,0.49669,0.50306,0.33421,0.50995,0.47617,0.46626,0.26874,1.026,1.64395,0.951,1.05072,0,0.00109874,0.00109874,0.00109874
35,6509.6,0.84201,1.25563,0.59899,0.90472,0,0.51918,0.49443,0.49765,0.32633,0.49764,0.47069,0.4632,0.26935,1.03875,1.65871,0.96419,1.05176,0,0.00105442,0.00105442,0.00105442
36,6608.2,0.84416,1.26309,0.60137,0.90655,0,0.53609,0.50747,0.50678,0.33221,0.51385,0.48064,0.47002,0.26864,1.03467,1.65947,0.93284,1.05416,0,0.00101,0.00101,0.00101
37,6931.24,0.83408,1.24469,0.58815,0.90396,0,0.55684,0.48028,0.51017,0.33561,0.54046,0.45409,0.47241,0.27219,1.03893,1.64472,0.93827,1.0607,0,0.000965584,0.000965584,0.000965584
