epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1196.97,0.92972,1.41313,0.68133,0.91603,0,0.48901,0.46406,0.4564,0.29055,0.46122,0.4256,0.4038,0.21892,1.08006,1.75769,0.93369,1.03877,0,0.00135786,0.00135786,0.00135786
29,1235.57,0.92521,1.40221,0.65575,0.91341,0,0.50923,0.46026,0.45497,0.29238,0.48121,0.42055,0.4029,0.2206,1.06616,1.75977,0.96164,1.03308,0,0.00131593,0.00131593,0.00131593
30,1272.35,0.92034,1.39025,0.65422,0.90929,0,0.52208,0.44551,0.45263,0.29352,0.48887,0.40962,0.40419,0.22276,1.05143,1.77516,0.94153,1.02149,0,0.00127338,0.00127338,0.00127338
31,1310.93,0.90394,1.39068,0.6279,0.90161,0,0.55733,0.44896,0.46912,0.29822,0.51443,0.41253,0.4166,0.22679,1.06567,1.76447,0.92386,1.03362,0,0.0012303,0.0012303,0.0012303
32,1361.57,0.90539,1.37482,0.6283,0.90772,0,0.50468,0.45706,0.45116,0.2863,0.50576,0.40248,0.40036,0.21552,1.06939,1.79099,0.97292,1.03046,0,0.00118677,0.00118677,0.00118677
33,1398.89,0.88602,1.33944,0.61537,0.90235,0,0.51295,0.45816,0.45986,0.29428,0.49084,0.41175,0.40548,0.21633,1.06063,1.77993,0.94833,1.03694,0,0.00114289,0.00114289,0.00114289
34,1437.51,0.87873,1.33579,0.60293,0.89917,0,0.53931,0.45142,0.46142,0.29597,0.51413,0.41212,0.40195,0.21621,1.06122,1.75874,0.93715,1.03143,0,0.00109874,0.00109874,0.00109874
35,1476.86,0.88884,1.35919,0.61122,0.89834,0,0.54694,0.48786,0.47623,0.30568,0.51494,0.45991,0.4268,0.22973,1.05539,1.77643,0.93608,1.02992,0,0.00105442,0.00105442,0.00105442
36,1513.3,0.88288,1.32916,0.6033,0.89708,0,0.52983,0.44756,0.45864,0.29639,0.5009,0.41341,0.4052,0.2215,1.05126,1.72881,0.92679,1.02958,0,0.00101,0.00101,0.00101
37,1552.3,0.8786,1.31326,0.59083,0.8959,0,0.52624,0.45411,0.45932,0.29327,0.48954,0.41743,0.4093,0.22189,1.04744,1.72402,0.92508,1.03401,0,0.000965584,0.000965584,0.000965584
38,1591.83,0.87597,1.31058,0.57877,0.8906,0,0.56207,0.44248,0.4645,0.29973,0.53863,0.39601,0.41492,0.22607,1.04702,1.73221,0.93981,1.02439,0,0.000921257,0.000921257,0.000921257
39,1630.41,0.85683,1.28379,0.57526,0.89044,0,0.53814,0.44409,0.45629,0.28967,0.50348,0.41263,0.40931,0.22047,1.06362,1.81479,0.94422,1.0392,0,0.000877109,0.000877109,0.000877109
40,1668.35,0.85426,1.28084,0.56981,0.88524,0,0.66462,0.45886,0.45826,0.29648,0.62926,0.42123,0.40876,0.22738,1.05336,1.77981,0.93675,1.03149,0,0.000833229,0.000833229,0.000833229
41,1707.59,0.85065,1.28517,0.56462,0.88644,0,0.53644,0.4392,0.45883,0.29404,0.5016,0.40597,0.40963,0.22564,1.0489,1.76967,0.94299,1.03191,0,0.000789704,0.000789704,0.000789704
42,1745.88,0.84838,1.2791,0.56065,0.8851,0,0.46256,0.52056,0.47643,0.30494,0.4315,0.48643,0.43026,0.23297,1.06063,1.77569,0.9453,1.03977,0,0.000746624,0.000746624,0.000746624
43,1796.15,0.84576,1.26891,0.55504,0.88133,0,0.5672,0.46854,0.46826,0.30035,0.53722,0.42554,0.41702,0.23188,1.04811,1.75235,0.95446,1.03538,0,0.000704073,0.000704073,0.000704073
44,1840.2,0.83927,1.26124,0.54995,0.88249,0,0.56347,0.49863,0.47958,0.3097,0.51949,0.47262,0.42803,0.23727,1.05154,1.74675,0.93487,1.0363,0,0.000662139,0.000662139,0.000662139
45,1880.1,0.83006,1.25121,0.54486,0.87962,0,0.54855,0.43642,0.46555,0.3005,0.52658,0.40232,0.41719,0.23247,1.03649,1.75929,0.93857,1.02639,0,0.000620905,0.000620905,0.000620905
46,1920.93,0.8257,1.23263,0.5423,0.8792,0,0.53555,0.45719,0.46278,0.29946,0.48891,0.42077,0.41012,0.22528,1.04036,1.75827,0.94025,1.03183,0,0.000580455,0.000580455,0.000580455
47,1959.81,0.81521,1.22008,0.53423,0.87502,0,0.52204,0.45857,0.46225,0.30197,0.64729,0.41217,0.40867,0.22553,1.0386,1.76006,0.92855,1.03075,0,0.00054087,0.00054087,0.00054087
48,2002.32,0.80931,1.22023,0.53185,0.87776,0,0.5556,0.45694,0.46738,0.30489,0.52081,0.4246,0.41939,0.23001,1.04025,1.77111,0.92833,1.03142,0,0.00050223,0.00050223,0.00050223
49,2043.88,0.8161,1.21736,0.52638,0.87264,0,0.55294,0.44596,0.47276,0.30853,0.50375,0.42659,0.42086,0.23172,1.03178,1.76823,0.93394,1.02568,0,0.000464612,0.000464612,0.000464612
50,2080.44,0.81828,1.21706,0.53834,0.87442,0,0.69758,0.44858,0.4716,0.3067,0.66205,0.41265,0.423,0.23346,1.03327,1.76189,0.91843,1.02708,0,0.000428093,0.000428093,0.000428093
51,2119.55,0.79667,1.18429,0.51683,0.87114,0,0.55714,0.44981,0.47156,0.30885,0.50926,0.41904,0.42335,0.23439,1.03145,1.77667,0.91599,1.03182,0,0.000392745,0.000392745,0.000392745
52,2158.89,0.79093,1.18292,0.51495,0.87166,0,0.70858,0.45038,0.47059,0.30635,0.66136,0.41249,0.41482,0.22713,1.02719,1.75532,0.922,1.03048,0,0.000358641,0.000358641,0.000358641
53,2195.76,0.80335,1.20746,0.51405,0.86725,0,0.52412,0.4656,0.47087,0.30521,0.65163,0.41576,0.41686,0.22852,1.028,1.76072,0.92502,1.0257,0,0.000325848,0.000325848,0.000325848
54,2236.82,0.77286,1.14244,0.50202,0.86708,0,0.69297,0.45703,0.47051,0.30335,0.67303,0.40944,0.41443,0.22709,1.03082,1.76192,0.93018,1.03065,0,0.000294433,0.000294433,0.000294433
55,2275.85,0.77565,1.15021,0.50339,0.86576,0,0.70392,0.44917,0.47483,0.30641,0.65846,0.41154,0.42011,0.23241,1.0387,1.76672,0.9319,1.02873,0,0.000264459,0.000264459,0.000264459
56,2316.14,0.79021,1.18444,0.5021,0.86592,0,0.54945,0.44775,0.47124,0.30454,0.51319,0.4162,0.42079,0.2341,1.0303,1.77064,0.9341,1.02984,0,0.000235987,0.000235987,0.000235987
57,2356.34,0.7658,1.14896,0.49098,0.86196,0,0.69655,0.4549,0.4724,0.307,0.66465,0.42002,0.42262,0.23453,1.02855,1.76838,0.9259,1.0289,0,0.000209073,0.000209073,0.000209073
58,2420.48,0.76644,1.13861,0.49193,0.86139,0,0.67561,0.46069,0.47207,0.3063,0.63202,0.42253,0.41959,0.23456,1.03174,1.78903,0.93285,1.03311,0,0.000183772,0.000183772,0.000183772
59,2459.06,0.77259,1.15318,0.49172,0.86204,0,0.48317,0.58157,0.48408,0.3159,0.44576,0.53883,0.43263,0.24157,1.03191,1.79055,0.92741,1.03314,0,0.000160136,0.000160136,0.000160136
60,2496.39,0.76524,1.14223,0.48651,0.85832,0,0.56526,0.50307,0.48193,0.31566,0.52311,0.46657,0.43171,0.24245,1.02638,1.75187,0.92068,1.032,0,0.00013821,0.00013821,0.00013821
