epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,168.435,1.3685,2.50809,1.56738,1.15621,0,0.28429,0.33232,0.22273,0.12967,0.25836,0.29363,0.195,0.10519,1.44613,2.75078,1.95182,1.31712,0,0.000660969,0.000660969,0.0676125
2,319.783,1.24041,2.0169,1.17285,1.07693,0,0.52213,0.40728,0.35289,0.19924,0.4888,0.37926,0.31056,0.16218,1.32492,2.58219,1.51887,1.17725,0,0.00132697,0.00132697,0.0349452
3,475.599,1.19377,1.90786,1.10044,1.0622,0,0.53877,0.42523,0.39529,0.22578,0.54481,0.39558,0.37223,0.2008,1.3098,2.14311,1.35861,1.18206,0,0.00199033,0.00199033,0.00227523
4,625.183,1.1763,1.857,1.06185,1.05397,0,0.52558,0.46438,0.45762,0.28017,0.51323,0.44933,0.44147,0.25044,1.25189,2.07296,1.22811,1.13756,0,0.00199104,0.00199104,0.00199104
5,776.951,1.1318,1.78294,1.02101,1.04027,0,0.47225,0.48502,0.44631,0.26903,0.46447,0.45952,0.42233,0.22915,1.19412,2.06366,1.26127,1.13476,0,0.00198409,0.00198409,0.00198409
6,927.291,1.10257,1.7495,0.99108,1.02283,0,0.54168,0.53559,0.49023,0.28701,0.52004,0.50884,0.45988,0.25734,1.20971,1.93394,1.19667,1.12647,0,0.00197518,0.00197518,0.00197518
7,1081.58,1.0917,1.72054,0.95489,1.01231,0,0.46196,0.52843,0.47696,0.29425,0.5334,0.4352,0.43483,0.25313,1.1627,1.90426,1.1678,1.1004,0,0.00196432,0.00196432,0.00196432
8,1238.43,1.07662,1.69525,0.93562,1.00815,0,0.5575,0.52208,0.50714,0.31443,0.5396,0.50386,0.47823,0.2708,1.14738,1.86703,1.11219,1.09996,0,0.00195155,0.00195155,0.00195155
9,1394.36,1.04417,1.65099,0.9016,1.00077,0,0.57638,0.54341,0.51915,0.32586,0.54402,0.52002,0.48067,0.28323,1.14591,1.83299,1.11566,1.09757,0,0.00193687,0.00193687,0.00193687
10,1548.88,1.03693,1.63022,0.88183,0.99335,0,0.60105,0.50693,0.51518,0.32363,0.58121,0.48277,0.48548,0.27758,1.14947,1.85812,1.12331,1.08143,0,0.00192033,0.00192033,0.00192033
