class,precision,recall,mAP50,mAP50-95
columna,0.7315,0.686,0.6692,0.3092
viga,0.7234,0.5146,0.5105,0.2312
sobrecimiento,0.5525,0.4516,0.4553,0.217
muro_kk,0.7371,0.7619,0.7797,0.6026
muro_pandereta,0.5075,0.4315,0.3864,0.2438
muro_revestido,0.5564,0.4492,0.448,0.2195
muro_adobe,0.0,0.0,0.0,0.0
