epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1605.3,1.00591,1.57291,0.89738,0.98846,0,0.576,0.54981,0.51689,0.32152,0.55948,0.52637,0.48333,0.27412,1.126,1.82952,1.08402,1.09758,0,0.00135786,0.00135786,0.00135786
29,1656.59,1.01752,1.59814,0.87106,0.99335,0,0.62854,0.5408,0.54533,0.34461,0.61455,0.5208,0.51287,0.29952,1.12507,1.85238,1.11158,1.08959,0,0.00131593,0.00131593,0.00131593
30,1710.42,1.03214,1.6184,0.87676,0.98716,0,0.51184,0.5638,0.50801,0.31476,0.50458,0.54553,0.47937,0.2717,1.1262,1.84319,1.1224,1.09465,0,0.00127338,0.00127338,0.00127338
31,1770.2,1.01404,1.59713,0.87998,0.99155,0,0.55498,0.55791,0.52744,0.33708,0.56632,0.53441,0.51141,0.29832,1.11085,1.80344,1.09572,1.08936,0,0.0012303,0.0012303,0.0012303
32,1823.15,1.01834,1.62048,0.85794,0.98255,0,0.57521,0.55338,0.55356,0.36025,0.59408,0.51743,0.5168,0.31111,1.10587,1.83511,1.07775,1.083,0,0.00118677,0.00118677,0.00118677
33,1878.05,0.99045,1.5384,0.83949,0.98209,0,0.58723,0.53832,0.53678,0.34992,0.56611,0.51701,0.50715,0.29585,1.10225,1.77893,1.07157,1.08649,0,0.00114289,0.00114289,0.00114289
34,1932.33,0.98224,1.54439,0.83022,0.97766,0,0.65277,0.53966,0.54458,0.36062,0.63332,0.52179,0.51284,0.30037,1.069,1.75301,1.06116,1.07355,0,0.00109874,0.00109874,0.00109874
35,1988.42,0.97629,1.53457,0.81542,0.96758,0,0.52394,0.57668,0.54506,0.35346,0.50426,0.55387,0.51236,0.29836,1.07886,1.77472,1.06249,1.08008,0,0.00105442,0.00105442,0.00105442
36,2048.97,0.98477,1.55112,0.8084,0.96605,0,0.643,0.51977,0.54345,0.35686,0.61641,0.49875,0.51274,0.30237,1.07073,1.77085,1.06551,1.07445,0,0.00101,0.00101,0.00101
37,2100.21,0.98309,1.57765,0.81402,0.96869,0,0.58265,0.55324,0.53399,0.34326,0.5783,0.51962,0.50255,0.29947,1.08668,1.75661,1.04615,1.0786,0,0.000965584,0.000965584,0.000965584
38,2157.42,0.97708,1.5235,0.7883,0.96281,0,0.59167,0.54824,0.54085,0.35655,0.58158,0.53376,0.52731,0.30573,1.08579,1.78209,1.03683,1.07691,0,0.000921257,0.000921257,0.000921257
