epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5948,1.35994,2.39282,1.5044,1.15245,0,0.34506,0.43764,0.33238,0.19433,0.29048,0.38376,0.24682,0.11334,1.32527,2.98433,1.39344,1.16704,0,0.000663805,0.000663805,0.0674735
2,361.009,1.23469,2.00919,1.18269,1.08564,0,0.4408,0.51088,0.43936,0.24589,0.42526,0.49125,0.40555,0.2165,1.26544,2.1246,1.29851,1.15138,0,0.00132981,0.00132981,0.0348062
3,432.893,1.21448,1.92186,1.14045,1.07281,0,0.46877,0.48914,0.42068,0.2458,0.48974,0.49723,0.43426,0.2301,1.26286,2.07223,1.29348,1.15953,0,0.00199316,0.00199316,0.00213622
