epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4231.59,0.8561,1.28091,0.62455,0.91101,0,0.52821,0.46876,0.48007,0.31729,0.50531,0.44563,0.44223,0.25357,1.04369,1.66308,0.95117,1.04576,0,0.00135786,0.00135786,0.00135786
29,4378.19,0.85641,1.27491,0.61767,0.90878,0,0.51952,0.45665,0.45626,0.306,0.50082,0.42889,0.42826,0.24307,1.03937,1.73553,0.98002,1.05079,0,0.00131593,0.00131593,0.00131593
30,4529.65,0.85614,1.27341,0.6151,0.91012,0,0.51896,0.48348,0.48669,0.32129,0.52555,0.44486,0.45419,0.25995,1.04455,1.71819,0.94941,1.0454,0,0.00127338,0.00127338,0.00127338
31,4680.83,0.84639,1.26699,0.60058,0.90199,0,0.54281,0.47138,0.48212,0.31685,0.52146,0.45515,0.45409,0.26091,1.0365,1.68142,0.93332,1.0463,0,0.0012303,0.0012303,0.0012303
32,4833.52,0.83801,1.25587,0.59362,0.9051,0,0.52214,0.48266,0.48208,0.31824,0.51021,0.44869,0.44709,0.2588,1.02656,1.65795,0.94143,1.04296,0,0.00118677,0.00118677,0.00118677
33,4980.81,0.81886,1.22563,0.57872,0.89959,0,0.50733,0.48375,0.47067,0.30871,0.48553,0.46139,0.43817,0.24899,1.0367,1.67378,0.96095,1.05139,0,0.00114289,0.00114289,0.00114289
34,5131.41,0.81492,1.20886,0.56947,0.89532,0,0.52038,0.48135,0.48637,0.32125,0.48802,0.46409,0.45055,0.25958,1.02808,1.71158,0.9261,1.0423,0,0.00109874,0.00109874,0.00109874
35,5280.97,0.81332,1.21932,0.57052,0.89303,0,0.54285,0.47917,0.48976,0.32476,0.50747,0.46747,0.45816,0.26445,1.02449,1.67678,0.9178,1.04653,0,0.00105442,0.00105442,0.00105442
36,5432.5,0.8217,1.21699,0.57341,0.89487,0,0.55474,0.46447,0.48111,0.31362,0.54103,0.43789,0.44539,0.25467,1.0435,1.70916,0.94935,1.05337,0,0.00101,0.00101,0.00101
37,5586.12,0.81074,1.20735,0.56058,0.89316,0,0.52621,0.47359,0.47366,0.31528,0.49699,0.45818,0.44302,0.25284,1.02103,1.70272,0.94112,1.05026,0,0.000965584,0.000965584,0.000965584
38,5737.37,0.80537,1.19511,0.54996,0.88761,0,0.70658,0.47394,0.49185,0.32856,0.68821,0.4488,0.45608,0.2657,1.0146,1.69128,0.92462,1.0368,0,0.000921257,0.000921257,0.000921257
39,5886.34,0.79334,1.17384,0.54283,0.89029,0,0.53371,0.48051,0.49271,0.33011,0.48687,0.46165,0.45031,0.26521,1.03103,1.74051,0.92114,1.05307,0,0.000877109,0.000877109,0.000877109
