epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1665.48,1.05125,1.64695,0.93397,1.00623,0,0.56855,0.53147,0.52218,0.32767,0.54403,0.51134,0.49512,0.29393,1.13392,1.82262,1.12001,1.09325,0,0.00135786,0.00135786,0.00135786
29,1697.97,1.03868,1.6357,0.91914,1.0012,0,0.56991,0.51033,0.52224,0.33234,0.53602,0.48628,0.48064,0.28129,1.12058,1.81016,1.11487,1.09648,0,0.00131593,0.00131593,0.00131593
30,1736.76,1.02533,1.5942,0.88004,0.99766,0,0.51771,0.5502,0.5134,0.33009,0.48799,0.52163,0.47472,0.28329,1.10324,1.7956,1.10863,1.08471,0,0.00127338,0.00127338,0.00127338
31,1803.57,1.01062,1.59532,0.88761,0.98488,0,0.52579,0.58597,0.51531,0.32794,0.53319,0.53523,0.49146,0.2909,1.11443,1.80632,1.11331,1.08814,0,0.0012303,0.0012303,0.0012303
32,1828.5,1.01282,1.5889,0.87785,0.99088,0,0.59374,0.56113,0.53368,0.34332,0.56862,0.53482,0.49488,0.291,1.09274,1.81143,1.09903,1.08818,0,0.00118677,0.00118677,0.00118677
33,1875.12,1.00937,1.58048,0.88674,0.99141,0,0.57074,0.52513,0.52378,0.33383,0.5451,0.50209,0.48911,0.2784,1.10517,1.80361,1.11295,1.09201,0,0.00114289,0.00114289,0.00114289
34,1910.12,1.00153,1.57484,0.86481,0.99383,0,0.57389,0.54778,0.54241,0.35621,0.56319,0.53353,0.5187,0.30486,1.09274,1.76244,1.09584,1.08101,0,0.00109874,0.00109874,0.00109874
35,1938.41,1.01097,1.58569,0.84871,0.98257,0,0.61849,0.51397,0.54974,0.34137,0.58787,0.4762,0.50345,0.28116,1.10888,1.79982,1.10397,1.08547,0,0.00105442,0.00105442,0.00105442
36,1969.73,0.99512,1.57343,0.85436,0.98004,0,0.58882,0.51907,0.52821,0.34546,0.57961,0.50245,0.49884,0.29561,1.0952,1.79529,1.12178,1.08134,0,0.00101,0.00101,0.00101
37,2104.1,0.98513,1.55019,0.83792,0.9724,0,0.60839,0.52421,0.5574,0.36071,0.60214,0.49867,0.53288,0.32514,1.09941,1.76922,1.10783,1.08383,0,0.000965584,0.000965584,0.000965584
38,2210.33,0.98241,1.54573,0.81885,0.97316,0,0.57344,0.53831,0.53018,0.33985,0.54073,0.51374,0.48722,0.288,1.08967,1.75429,1.08946,1.07983,0,0.000921257,0.000921257,0.000921257
39,2240.59,0.98033,1.55026,0.85464,0.98256,0,0.62644,0.58396,0.56048,0.34845,0.59602,0.55631,0.52356,0.30538,1.09361,1.76738,1.0812,1.08474,0,0.000877109,0.000877109,0.000877109
40,2350.02,0.96408,1.53172,0.81475,0.96903,0,0.58948,0.55904,0.54843,0.34399,0.58248,0.52506,0.51894,0.30508,1.09593,1.74707,1.08103,1.08945,0,0.000833229,0.000833229,0.000833229
41,2398.36,0.98561,1.50995,0.83925,0.97882,0,0.58289,0.53433,0.54113,0.34696,0.6196,0.50695,0.5177,0.30402,1.07628,1.77956,1.08154,1.07173,0,0.000789704,0.000789704,0.000789704
42,2447.35,0.95562,1.48249,0.79555,0.96871,0,0.62405,0.5527,0.54678,0.34784,0.59409,0.5241,0.50661,0.29745,1.07544,1.76704,1.10042,1.07597,0,0.000746624,0.000746624,0.000746624
43,2507.17,0.96887,1.52521,0.80464,0.96507,0,0.59705,0.54855,0.53778,0.34471,0.59141,0.51971,0.50675,0.30137,1.07342,1.74795,1.088,1.07782,0,0.000704073,0.000704073,0.000704073
44,2535.4,0.94813,1.46787,0.79084,0.96747,0,0.61807,0.54624,0.54729,0.35531,0.63152,0.51788,0.52987,0.31432,1.07463,1.75988,1.07562,1.07764,0,0.000662139,0.000662139,0.000662139
45,2560.03,0.96932,1.53119,0.81101,0.96731,0,0.63088,0.5396,0.55135,0.35831,0.62582,0.53133,0.53081,0.32025,1.07342,1.73931,1.07701,1.08025,0,0.000620905,0.000620905,0.000620905
46,2609.37,0.93269,1.45441,0.77243,0.95191,0,0.61777,0.52493,0.55588,0.36752,0.65655,0.48772,0.51821,0.31146,1.05397,1.69565,1.05016,1.07113,0,0.000580455,0.000580455,0.000580455
47,2634.35,0.93784,1.47136,0.77986,0.95995,0,0.58929,0.5585,0.56145,0.36939,0.58092,0.54871,0.53675,0.32087,1.06313,1.70491,1.05337,1.07595,0,0.00054087,0.00054087,0.00054087
48,2668.77,0.93907,1.46943,0.76788,0.95751,0,0.65703,0.54729,0.56418,0.36245,0.62784,0.51488,0.52322,0.30827,1.06582,1.73496,1.05288,1.07619,0,0.00050223,0.00050223,0.00050223
49,2690.38,0.93984,1.45918,0.76505,0.95806,0,0.63664,0.56259,0.56399,0.36034,0.60982,0.53941,0.53091,0.31395,1.05796,1.74226,1.04519,1.07807,0,0.000464612,0.000464612,0.000464612
50,2821.22,0.91838,1.42335,0.75031,0.95003,0,0.63528,0.54301,0.57022,0.37145,0.60512,0.51789,0.53134,0.32362,1.04931,1.72558,1.05695,1.06376,0,0.000428093,0.000428093,0.000428093
51,2857.58,0.92932,1.45342,0.73495,0.94653,0,0.64978,0.55444,0.57729,0.38388,0.62825,0.52648,0.54678,0.33243,1.04306,1.71542,1.05104,1.06173,0,0.000392745,0.000392745,0.000392745
52,2911.61,0.93532,1.47495,0.7538,0.95948,0,0.67753,0.49384,0.56633,0.3726,0.65109,0.47137,0.52929,0.32068,1.05027,1.72195,1.05977,1.06944,0,0.000358641,0.000358641,0.000358641
53,2942.72,0.91895,1.46103,0.7406,0.94176,0,0.61879,0.56683,0.56831,0.37097,0.5923,0.53713,0.53235,0.32288,1.04987,1.72523,1.06616,1.06715,0,0.000325848,0.000325848,0.000325848
54,2967.96,0.9002,1.41658,0.74122,0.95249,0,0.61355,0.5653,0.57575,0.37664,0.62675,0.51296,0.53859,0.32748,1.04137,1.72797,1.04753,1.05955,0,0.000294433,0.000294433,0.000294433
55,3100.44,0.90706,1.42397,0.72016,0.94596,0,0.56237,0.56188,0.55554,0.36511,0.58248,0.51409,0.52532,0.3183,1.03652,1.69329,1.0561,1.06598,0,0.000264459,0.000264459,0.000264459
56,3222.16,0.8902,1.40816,0.70553,0.93837,0,0.61636,0.54396,0.56869,0.37948,0.60829,0.52831,0.54006,0.32494,1.03625,1.69475,1.0344,1.06521,0,0.000235987,0.000235987,0.000235987
57,3260.63,0.90383,1.41539,0.71492,0.94428,0,0.61169,0.55542,0.57051,0.38071,0.58779,0.53234,0.53842,0.32999,1.02795,1.7003,1.0319,1.05915,0,0.000209073,0.000209073,0.000209073
58,3343.77,0.89615,1.40157,0.69833,0.93686,0,0.58872,0.56371,0.56271,0.37021,0.56174,0.53814,0.52621,0.32068,1.03405,1.70228,1.0474,1.06245,0,0.000183772,0.000183772,0.000183772
59,3380.34,0.90101,1.4115,0.71332,0.94192,0,0.61562,0.54272,0.56374,0.36952,0.60534,0.50554,0.53087,0.3227,1.03984,1.71642,1.04586,1.0647,0,0.000160136,0.000160136,0.000160136
60,3537.03,0.89065,1.38489,0.68168,0.93157,0,0.62928,0.55777,0.56753,0.37731,0.58467,0.53815,0.53603,0.32353,1.034,1.70979,1.04289,1.0641,0,0.00013821,0.00013821,0.00013821
61,3555.95,0.89045,1.36965,0.70585,0.94264,0,0.58313,0.5755,0.56165,0.37229,0.5905,0.52921,0.52636,0.32052,1.05374,1.79355,1.0678,1.08454,0,0.000118041,0.000118041,0.000118041
62,3570.82,0.87516,1.32349,0.68364,0.93993,0,0.60278,0.55405,0.55925,0.37223,0.58995,0.54354,0.53227,0.32117,1.05481,1.78052,1.06611,1.08274,0,9.96675e-05,9.96675e-05,9.96675e-05
63,3588.47,0.87795,1.34042,0.68339,0.94225,0,0.59822,0.58022,0.55991,0.37249,0.58538,0.5533,0.52783,0.32128,1.04125,1.75514,1.04685,1.07503,0,8.31275e-05,8.31275e-05,8.31275e-05
64,3603.4,0.85934,1.31238,0.66271,0.92778,0,0.56175,0.59492,0.56079,0.37496,0.5378,0.57015,0.53289,0.32378,1.02981,1.73324,1.03617,1.06705,0,6.8454e-05,6.8454e-05,6.8454e-05
65,3618.6,0.85468,1.30611,0.65482,0.92453,0,0.63687,0.54027,0.56691,0.38229,0.61265,0.51664,0.53861,0.32973,1.0263,1.72613,1.03838,1.06253,0,5.56768e-05,5.56768e-05,5.56768e-05
66,3636.11,0.84402,1.29071,0.65047,0.93296,0,0.62432,0.54726,0.56712,0.38328,0.59793,0.5238,0.53792,0.32777,1.02804,1.72412,1.04006,1.06576,0,4.48214e-05,4.48214e-05,4.48214e-05
67,3651.04,0.85439,1.29088,0.64676,0.92626,0,0.6148,0.55915,0.57115,0.38699,0.58553,0.53379,0.54383,0.33059,1.02501,1.72724,1.03798,1.06505,0,3.59097e-05,3.59097e-05,3.59097e-05
68,3668.69,0.85955,1.30117,0.64458,0.92464,0,0.64463,0.53455,0.57609,0.3876,0.62861,0.51005,0.54702,0.33196,1.0271,1.72848,1.03844,1.06641,0,2.89597e-05,2.89597e-05,2.89597e-05
69,3683.64,0.83144,1.27385,0.63602,0.91912,0,0.6325,0.55113,0.57671,0.38767,0.61829,0.52026,0.5468,0.33343,1.02609,1.72351,1.03819,1.06553,0,2.39854e-05,2.39854e-05,2.39854e-05
70,3701.32,0.83885,1.27669,0.64488,0.93108,0,0.59127,0.57402,0.57403,0.38668,0.56575,0.54488,0.54199,0.32918,1.02554,1.72361,1.03575,1.06506,0,2.09969e-05,2.09969e-05,2.09969e-05
